order_accuracy,Delivery_satisfaction
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
Yes,1
Yes,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
,1
Yes,1
No,1
No,1
No,1
Yes,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
,1
No,1
Yes,1
Yes,1
No,1
Yes,1
,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
Yes,1
No,1
Yes,1
,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
No,1
Yes,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
,1
Yes,1
No,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
No,1
,1
No,1
Yes,1
No,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
,1
No,1
No,1
Yes,1
Yes,1
Yes,1
,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
No,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
No,1
Yes,1
No,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
No,1
,1
Yes,1
Yes,1
No,1
,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
No,1
,1
No,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
Yes,1
Yes,1
,1
No,1
,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
Yes,1
Yes,1
,1
Yes,1
No,1
Yes,1
Yes,1
,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
,1
Yes,1
No,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
No,1
No,1
Yes,1
Yes,1
Yes,1
,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
,1
Yes,1
Yes,1
No,1
Yes,1
,1
Yes,1
No,1
Yes,1
,1
,1
Yes,1
Yes,1
,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
Yes,1
,1
No,1
,1
Yes,1
Yes,1
,1
Yes,1
No,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
No,1
,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
Yes,1
No,1
Yes,1
No,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
Yes,1
No,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
,1
No,1
,1
No,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
,1
Yes,1
,1
Yes,1
Yes,1
Yes,1
Yes,1
Yes,1
No,1
Yes,1
,1
No,1
Yes,1
